"","Island","Site","Exposure_J_m3","Side","seabird.biomass.total","Sample.ID","Date","Sample.Type","Species","N15","Turf.cage.number"
"1","Aride","Site 1",87.04,"south",167.4759249,507,"17_November_2022","Turf algae","Turf",3.6,1
"2","Aride","Site 1",87.04,"south",167.4759249,509,"17_November_2022","Turf algae","Turf",3.3,27
"3","Aride","Site 1",87.04,"south",167.4759249,510,"17_November_2022","Turf algae","Turf",4.7,8
"4","Aride","Site 1",87.04,"south",167.4759249,511,"17_November_2022","Turf algae","Turf",4.7,30
"5","Aride","Site 1",87.04,"south",167.4759249,512,"17_November_2022","Turf algae","Turf",4.8,7
"6","Aride","Site 1",87.04,"south",167.4759249,515,"17_November_2022","Turf algae","Turf",NA,15
"7","Aride","Site 1",87.04,"south",167.4759249,518,"17_November_2022","Turf algae","Turf",4.5,12
"8","Aride","Site 1",87.04,"south",167.4759249,522,"17_November_2022","Turf algae","Turf",5.7,19
"9","Aride","Site 1",87.04,"south",167.4759249,524,"17_November_2022","Turf algae","Turf",3.7,17
"10","Aride","Site 1",87.04,"south",167.4759249,525,"17_November_2022","Turf algae","Turf",2.4,3
"11","Cousine","Site 1",483.27,"northeast",156.2061952,527,"17_November_2022","Turf algae","Turf",2.6,9
"12","Cousine","Site 1",483.27,"northeast",156.2061952,528,"17_November_2022","Turf algae","Turf",4.5,6
"13","Cousine","Site 1",483.27,"northeast",156.2061952,529,"17_November_2022","Turf algae","Turf",5.2,25
"14","Cousine","Site 1",483.27,"northeast",156.2061952,534,"17_November_2022","Turf algae","Turf",4.5,13
"15","Cousine","Site 1",483.27,"northeast",156.2061952,537,"17_November_2022","Turf algae","Turf",NA,14
"16","Cousine","Site 1",483.27,"northeast",156.2061952,540,"17_November_2022","Turf algae","Turf",4.6,11
"17","Cousine","Site 1",483.27,"northeast",156.2061952,543,"17_November_2022","Turf algae","Turf",3.4,22
"18","Cousine","Site 1",483.27,"northeast",156.2061952,545,"17_November_2022","Turf algae","Turf",4,20
"19","Cousine","Site 1",483.27,"northeast",156.2061952,546,"17_November_2022","Turf algae","Turf",8,4
"20","Felicite","Site 1",168.61,"southwest",0,557,"20_November_2022","Turf algae","Turf",3.9,21
"21","Felicite","Site 1",168.61,"southwest",0,558,"20_November_2022","Turf algae","Turf",5.1,31
"22","Felicite","Site 1",168.61,"southwest",0,559,"20_November_2022","Turf algae","Turf",3.2,35
"23","Felicite","Site 1",168.61,"southwest",0,560,"20_November_2022","Turf algae","Turf",2.1,32
"24","Felicite","Site 1",168.61,"southwest",0,562,"20_November_2022","Turf algae","Turf",NA,34
"25","Felicite","Site 1",168.61,"southwest",0,563,"20_November_2022","Turf algae","Turf",3.4,33
"26","Felicite","Site 1",168.61,"southwest",0,564,"20_November_2022","Turf algae","Turf",2.9,37
"27","Felicite","Site 1",168.61,"southwest",0,565,"20_November_2022","Turf algae","Turf",3.5,2
"28","Felicite","Site 1",168.61,"southwest",0,565,"20_November_2022","Turf algae","Turf",2.9,24
"29","Fregate","High",394.16,"northeast",46.2549573,186,"06-November_2022","Turf algae","Turf",5.4,15
"30","Fregate","High",394.16,"northeast",46.2549573,187,"06-November_2022","Turf algae","Turf",6.1,6
"31","Fregate","High",394.16,"northeast",46.2549573,188,"06-November_2022","Turf algae","Turf",6.6,19
"32","Fregate","High",394.16,"northeast",46.2549573,189,"06-November_2022","Turf algae","Turf",6,8
"33","Fregate","High",394.16,"northeast",46.2549573,191,"06-November_2022","Turf algae","Turf",6.2,17
"34","Fregate","High",394.16,"northeast",46.2549573,193,"06-November_2022","Turf algae","Turf",6.5,11
"35","Fregate","High",394.16,"northeast",46.2549573,194,"06-November_2022","Turf algae","Turf",NA,13
"36","Fregate","High",394.16,"northeast",46.2549573,196,"06-November_2022","Turf algae","Turf",5.2,12
"37","Fregate","High",394.16,"northeast",46.2549573,197,"06-November_2022","Turf algae","Turf",6.1,16
"38","Fregate","High",394.16,"northeast",46.2549573,205,"06-November_2022","Turf algae","Turf",6,14
"39","Fregate","Low",448.98,"southwest",3.901278061,206,"06-November_2022","Turf algae","Turf",5,7
"40","Fregate","Low",448.98,"southwest",3.901278061,207,"06-November_2022","Turf algae","Turf",4.8,30
"41","Fregate","Low",448.98,"southwest",3.901278061,208,"06-November_2022","Turf algae","Turf",4.3,1
"42","Fregate","Low",448.98,"southwest",3.901278061,209,"06-November_2022","Turf algae","Turf",5,4
"43","Fregate","Low",448.98,"southwest",3.901278061,213,"06-November_2022","Turf algae","Turf",5.6,2
"44","Fregate","Low",448.98,"southwest",3.901278061,215,"06-November_2022","Turf algae","Turf",5.7,3
"45","Fregate","Low",448.98,"southwest",3.901278061,216,"06-November_2022","Turf algae","Turf",4.8,10
"46","Fregate","Low",448.98,"southwest",3.901278061,217,"06-November_2022","Turf algae","Turf",5.8,9
