"","Island","Site","Transect","herb_biomass_kg_ha","herb_productivity_kg_ha_day","pred_biomass_kg_ha","structure","hard_coral","macroalgae","pavement","rubble","turf","CCA","dead","sand","other_grazeable","other_orgs","sand_rubble","available_sub","Exposure_J_m3","mean_turf_prod_mm_day","mean_turf_n15","mean_turf_height"
"1","Aride","Site 1",1,1385.6,1.151013883,351.5,1.5,0.216666667,0,0,0.333333333,0.05,0,0,0.366666667,0,0.033333333,0.7,0,87.04,0.365028571428571,4.15555555555556,1.4308
"2","Aride","Site 1",2,897.1,0.520767221,208.7,1.5,0.033333333,0,0,0.666666667,0.083333333,0.016666667,0.033333333,0.166666667,0.05,0,0.833333334,0.033333333,87.04,0.365028571428571,4.15555555555556,1.4308
"3","Aride","Site 1",3,648.8,0.306415354,0,2,0.05,0,0.05,0.633333333,0.05,0,0,0.183333333,0.05,0,0.816666666,0.05,87.04,0.365028571428571,4.15555555555556,1.4308
"4","Aride","Site 1",4,729.8,0.292508217,95.7,1.5,0.1,0,0.066666667,0.333333333,0.3,0,0,0.15,0.066666667,0.033333333,0.483333333,0.066666667,87.04,0.365028571428571,4.15555555555556,1.4308
"5","Cousine","Site 1",1,637.6,0.302175623,376.2,2,0.7,0,0,0.166666667,0.083333333,0.033333333,0,0,0.033333333,0.016666667,0.166666667,0,483.27,0.263762557077626,4.6,1.89811111111111
"6","Cousine","Site 1",2,924.6,0.403493787,73.5,2.5,0.433333333,0,0.033333333,0.133333333,0.3,0.05,0,0,0.083333333,0.016666667,0.133333333,0.033333333,483.27,0.263762557077626,4.6,1.89811111111111
"7","Cousine","Site 1",3,831.9,0.389063268,75.6,2.5,0.333333333,0,0.083333333,0.433333333,0.083333333,0.016666667,0,0.016666667,0.1,0.033333333,0.45,0.083333333,483.27,0.263762557077626,4.6,1.89811111111111
"8","Cousine","Site 1",4,167.1,0.25891225,0,2,0.366666667,0,0.016666667,0.416666667,0.133333333,0.066666667,0,0,0.083333334,0,0.416666667,0.016666667,483.27,0.263762557077626,4.6,1.89811111111111
"9","Felicite","Site 1",1,173.4,0.184553642,26.1,2,0.266666667,0,0.1,0.283333333,0.1,0.166666667,0,0.033333333,0.266666667,0,0.316666666,0.1,168.61,0.200560224089636,3.375,1.38255555555556
"10","Felicite","Site 1",2,141.8,0.249487863,0,1.5,0.116666667,0,0.1,0.2,0.383333333,0.05,0,0.1,0.15,0.033333334,0.3,0.1,168.61,0.200560224089636,3.375,1.38255555555556
"11","Felicite","Site 1",3,90,0.130136118,85.8,2.5,0.05,0,0.083333333,0.283333333,0.2,0.15,0,0.15,0.233333333,0.016666667,0.433333333,0.083333333,168.61,0.200560224089636,3.375,1.38255555555556
"12","Felicite","Site 1",4,231.4,0.387292591,0,2,0.166666667,0,0.033333333,0.483333333,0.083333333,0.016666667,0,0.166666667,0.05,0.033333333,0.65,0.033333333,168.61,0.200560224089636,3.375,1.38255555555556
"13","Fregate","High",1,317.8,0.219541357,131.7,3,0.716666667,0.016666667,0.016666667,0.083333333,0.1,0.016666667,0.016666667,0,0.050000001,0.033333333,0.083333333,0.033333334,394.16,0.392789195189639,6.01111111111111,1.9196
"14","Fregate","High",2,518.9,0.29675275,292.1,2.5,0.566666667,0,0.083333333,0.083333333,0.116666667,0.05,0.066666667,0,0.2,0.033333333,0.083333333,0.15,394.16,0.392789195189639,6.01111111111111,1.9196
"15","Fregate","High",3,972.8,1.022195825,64.9,3.5,0.6,0.016666667,0.05,0.233333333,0.033333333,0.066666667,0,0,0.116666667,0,0.233333333,0.05,394.16,0.392789195189639,6.01111111111111,1.9196
"16","Fregate","High",4,331.2,0.276050405,429.7,1.5,0.316666667,0,0.033333333,0.4,0.05,0.066666667,0.016666667,0,0.116666667,0.116666667,0.4,0.05,394.16,0.392789195189639,6.01111111111111,1.9196
"17","Fregate","Low",1,304,0.347639241,0,3.5,0.233333333,0.033333333,0.183333333,0.05,0.25,0.083333333,0,0.016666667,0.266666666,0.15,0.066666667,0.183333333,448.98,0.357122448979592,5.125,3.479875
"18","Fregate","Low",2,302.1,0.402252674,38.8,3,0.166666667,0.016666667,0.183333333,0,0.233333333,0.066666667,0.05,0.033333333,0.3,0.25,0.033333333,0.233333333,448.98,0.357122448979592,5.125,3.479875
"19","Fregate","Low",3,379.5,0.377085374,0,3,0.416666667,0,0.216666667,0.033333333,0.033333333,0.1,0,0,0.316666667,0.2,0.033333333,0.216666667,448.98,0.357122448979592,5.125,3.479875
"20","Fregate","Low",4,278.3,0.244128655,8.2,1.5,0.4,0,0.283333333,0.116666667,0.033333333,0.05,0.016666667,0,0.35,0.1,0.116666667,0.3,448.98,0.357122448979592,5.125,3.479875
